Date,Region,Product,Category,Sales_Amount,Units_Sold,Profit,Customer_Rating,Customer_Feedback,Sales_Rep,Store_Type,Promotion_Active,Shipping_Days,Return_Rate
2024-01-15,North,Laptop Pro,Electronics,1299.99,1,389.99,4.5,Great product but expensive,John Smith,Retail,Yes,3,0.05
2024-01-16,South,Office Chair,Furniture,249.99,3,74.99,4.2,Comfortable and sturdy,Sarah Johnson,Online,No,5,0.03
2024-01-17,East,Wireless Mouse,Electronics,29.99,15,8.99,4.8,Best mouse I've ever used,Mike Chen,Retail,Yes,2,0.01
2024-01-18,West,Standing Desk,Furniture,599.99,2,179.99,4.6,Love the height adjustment,Emily Davis,Online,No,7,0.04
2024-01-19,North,Monitor 27inch,Electronics,349.99,4,104.99,4.7,Crystal clear display,John Smith,Retail,Yes,3,0.02
2024-01-20,South,Ergonomic Keyboard,Electronics,89.99,8,26.99,4.3,Keys feel great,Sarah Johnson,Retail,No,2,0.06
2024-01-21,East,Desk Lamp,Furniture,39.99,12,11.99,4.1,Decent but not amazing,Mike Chen,Online,Yes,4,0.08
2024-01-22,West,USB Hub,Electronics,24.99,20,7.49,4.9,Perfect for my setup,Emily Davis,Retail,Yes,2,0.01
2024-01-23,North,Bookshelf,Furniture,129.99,5,38.99,4.4,Easy to assemble,John Smith,Online,No,6,0.05
2024-01-24,South,Webcam HD,Electronics,79.99,6,23.99,4.0,Video quality could be better,Sarah Johnson,Retail,No,3,0.12
2024-01-25,East,Office Chair,Furniture,249.99,7,74.99,4.5,Great value for money,Mike Chen,Online,Yes,5,0.03
2024-01-26,West,Laptop Pro,Electronics,1299.99,2,389.99,4.8,Absolutely love it,Emily Davis,Retail,No,3,0.02
2024-01-27,North,Wireless Mouse,Electronics,29.99,25,8.99,4.7,Responsive and reliable,John Smith,Retail,Yes,2,0.01
2024-01-28,South,Standing Desk,Furniture,599.99,3,179.99,4.2,A bit wobbly,Sarah Johnson,Online,No,7,0.09
2024-01-29,East,Monitor 27inch,Electronics,349.99,5,104.99,4.9,Exceeded expectations,Mike Chen,Retail,Yes,3,0.01
2024-01-30,West,Desk Lamp,Furniture,39.99,18,11.99,3.8,Too dim for reading,Emily Davis,Online,No,4,0.15
2024-02-01,North,USB Hub,Electronics,24.99,30,7.49,5.0,Can't live without it,John Smith,Retail,Yes,2,0.00
2024-02-02,South,Ergonomic Keyboard,Electronics,89.99,10,26.99,4.6,Wrist pain is gone,Sarah Johnson,Retail,No,2,0.04
2024-02-03,East,Bookshelf,Furniture,129.99,8,38.99,4.3,Holds a lot of books,Mike Chen,Online,Yes,6,0.06
2024-02-04,West,Webcam HD,Electronics,79.99,4,23.99,3.5,Disappointed with quality,Emily Davis,Retail,No,3,0.18
2024-02-05,North,Office Chair,Furniture,249.99,6,74.99,4.7,Best purchase this year,John Smith,Online,Yes,5,0.02
2024-02-06,South,Laptop Pro,Electronics,1299.99,3,389.99,4.4,Good but a bit heavy,Sarah Johnson,Retail,No,3,0.07
2024-02-07,East,Wireless Mouse,Electronics,29.99,22,8.99,4.6,Perfect size and weight,Mike Chen,Retail,Yes,2,0.02
2024-02-08,West,Standing Desk,Furniture,599.99,4,179.99,4.8,Changed my work life,Emily Davis,Online,No,7,0.03
2024-02-09,North,Monitor 27inch,Electronics,349.99,6,104.99,4.5,Great for multitasking,John Smith,Retail,Yes,3,0.04
2024-02-10,South,Desk Lamp,Furniture,39.99,15,11.99,4.2,Good brightness levels,Sarah Johnson,Online,No,4,0.07
2024-02-11,East,USB Hub,Electronics,24.99,28,7.49,4.8,So many ports,Mike Chen,Retail,Yes,2,0.01
2024-02-12,West,Ergonomic Keyboard,Electronics,89.99,12,26.99,4.1,Takes time to adjust,Emily Davis,Retail,No,2,0.10
2024-02-13,North,Bookshelf,Furniture,129.99,7,38.99,4.6,Sturdy construction,John Smith,Online,Yes,6,0.04
2024-02-14,South,Webcam HD,Electronics,79.99,5,23.99,4.3,Good for video calls,Sarah Johnson,Retail,No,3,0.08
2024-02-15,East,Office Chair,Furniture,249.99,9,74.99,4.9,Premium quality,Mike Chen,Online,Yes,5,0.01
2024-02-16,West,Laptop Pro,Electronics,1299.99,4,389.99,4.7,Fast and reliable,Emily Davis,Retail,No,3,0.03
2024-02-17,North,Wireless Mouse,Electronics,29.99,35,8.99,4.5,Great for gaming too,John Smith,Retail,Yes,2,0.02
2024-02-18,South,Standing Desk,Furniture,599.99,5,179.99,4.1,Assembly was difficult,Sarah Johnson,Online,No,7,0.11
2024-02-19,East,Monitor 27inch,Electronics,349.99,7,104.99,4.8,Colors are vibrant,Mike Chen,Retail,Yes,3,0.02
2024-02-20,West,Desk Lamp,Furniture,39.99,20,11.99,4.4,Good value,Emily Davis,Online,No,4,0.05
2024-02-21,North,USB Hub,Electronics,24.99,32,7.49,4.7,Compact design,John Smith,Retail,Yes,2,0.01
2024-02-22,South,Ergonomic Keyboard,Electronics,89.99,14,26.99,4.4,Typing is smoother,Sarah Johnson,Retail,No,2,0.06
2024-02-23,East,Bookshelf,Furniture,129.99,10,38.99,4.0,Scratches easily,Mike Chen,Online,Yes,6,0.12
2024-02-24,West,Webcam HD,Electronics,79.99,7,23.99,4.6,Clear image quality,Emily Davis,Retail,No,3,0.04
2024-02-25,North,Office Chair,Furniture,249.99,8,74.99,4.3,A bit stiff at first,John Smith,Online,Yes,5,0.07
2024-02-26,South,Laptop Pro,Electronics,1299.99,5,389.99,5.0,Perfect in every way,Sarah Johnson,Retail,No,3,0.01
2024-02-27,East,Wireless Mouse,Electronics,29.99,28,8.99,4.9,Battery lasts forever,Mike Chen,Retail,Yes,2,0.00
2024-02-28,West,Standing Desk,Furniture,599.99,6,179.99,4.5,Great ergonomics,Emily Davis,Online,No,7,0.05
2024-03-01,North,Monitor 27inch,Electronics,349.99,8,104.99,4.6,Eye strain reduced,John Smith,Retail,Yes,3,0.03
2024-03-02,South,Desk Lamp,Furniture,39.99,16,11.99,3.9,Flickers sometimes,Sarah Johnson,Online,No,4,0.14
2024-03-03,East,USB Hub,Electronics,24.99,40,7.49,4.8,Essential accessory,Mike Chen,Retail,Yes,2,0.01
2024-03-04,West,Ergonomic Keyboard,Electronics,89.99,16,26.99,4.7,Best keyboard ever,Emily Davis,Retail,No,2,0.03
2024-03-05,North,Bookshelf,Furniture,129.99,9,38.99,4.5,Perfect fit for my room,John Smith,Online,Yes,6,0.05
2024-03-06,South,Webcam HD,Electronics,79.99,8,23.99,4.1,Microphone is weak,Sarah Johnson,Retail,No,3,0.10
2024-03-07,East,Office Chair,Furniture,249.99,11,74.99,4.8,Worth every penny,Mike Chen,Online,Yes,5,0.02
2024-03-08,West,Laptop Pro,Electronics,1299.99,6,389.99,4.3,Battery life is good,Emily Davis,Retail,No,3,0.08
2024-03-09,North,Wireless Mouse,Electronics,29.99,32,8.99,4.4,Comfortable grip,John Smith,Retail,Yes,2,0.03
2024-03-10,South,Standing Desk,Furniture,599.99,7,179.99,4.9,Life changing,Sarah Johnson,Online,No,7,0.01
2024-03-11,East,Monitor 27inch,Electronics,349.99,9,104.99,4.2,Bezel is thick,Mike Chen,Retail,Yes,3,0.09
2024-03-12,West,Desk Lamp,Furniture,39.99,22,11.99,4.6,Adjustable and bright,Emily Davis,Online,No,4,0.04
2024-03-13,North,USB Hub,Electronics,24.99,38,7.49,4.9,Plug and play,John Smith,Retail,Yes,2,0.00
2024-03-14,South,Ergonomic Keyboard,Electronics,89.99,18,26.99,4.0,Not for me,Sarah Johnson,Retail,No,2,0.13
2024-03-15,East,Bookshelf,Furniture,129.99,12,38.99,4.7,Looks expensive,Mike Chen,Online,Yes,6,0.03
2024-03-16,West,Webcam HD,Electronics,79.99,9,23.99,4.4,Good autofocus,Emily Davis,Retail,No,3,0.06
2024-03-17,North,Office Chair,Furniture,249.99,10,74.99,4.1,Armrests are hard,John Smith,Online,Yes,5,0.09
2024-03-18,South,Laptop Pro,Electronics,1299.99,7,389.99,4.6,Sleek design,Sarah Johnson,Retail,No,3,0.04
2024-03-19,East,Wireless Mouse,Electronics,29.99,30,8.99,5.0,Flawless tracking,Mike Chen,Retail,Yes,2,0.00
2024-03-20,West,Standing Desk,Furniture,599.99,8,179.99,4.4,Motor is quiet,Emily Davis,Online,No,7,0.06